Number,District,Mukim,Kampong,Code
95,Brunei-Muara,Daerah Brunei Dan Muara,Peti Surat 01 hingga 500,BS8670
97,Brunei-Muara,Daerah Brunei Dan Muara,Peti Surat 1001 hingga 1500,BS8672
98,Brunei-Muara,Daerah Brunei Dan Muara,Peti Surat 1501 hingga 2000,BS8673
99,Brunei-Muara,Daerah Brunei Dan Muara,Peti Surat 2001 hingga 2500,BS8674
100,Brunei-Muara,Daerah Brunei Dan Muara,Peti Surat 2501,BS8675
96,Brunei-Muara,Daerah Brunei Dan Muara,Peti Surat 501 hingga 1000,BS8671
107,Brunei-Muara,Daerah Brunei Dan Muara,Peti Surat Persendirian (Pejabat Pos Anggerek Desa),BB3713
102,Brunei-Muara,Daerah Brunei Dan Muara,Peti Surat Persendirian (Pejabat Pos Gadong),BE3978
108,Brunei-Muara,Daerah Brunei Dan Muara,Peti Surat Persendirian (Pejabat Pos Limau Manis),BH2323
103,Brunei-Muara,Daerah Brunei Dan Muara,Peti Surat Persendirian (Pejabat Pos Mata-Mata),BE1976
106,Brunei-Muara,Daerah Brunei Dan Muara,Peti Surat Persendirian (Pejabat Pos Muara),BT1128
101,Brunei-Muara,Daerah Brunei Dan Muara,Peti Surat Persendirian (Pejabat Pos Pusat Memproses Mel),BS3577
105,Brunei-Muara,Daerah Brunei Dan Muara,Peti Surat Persendirian (Pejabat Pos Salambigar),BC1515
109,Brunei-Muara,Daerah Brunei Dan Muara,Peti Surat Persendirian (Pejabat Pos Sengkurong),BG1121
104,Brunei-Muara,Daerah Brunei Dan Muara,Peti Surat Persendirian (Pejabat Pos Seri Komplek),BA1779
4,Brunei-Muara,Jabatan Perdana Menteri,Jabatan Audit,BB3910
5,Brunei-Muara,Jabatan Perdana Menteri,Jabatan Biro Kawalan Narkotik,BE2110
8,Brunei-Muara,Jabatan Perdana Menteri,Jabatan Biro Mencegah Rasuah,BB3510
12,Brunei-Muara,Jabatan Perdana Menteri,Jabatan Keselamatan Dalam Negeri,BA1910
6,Brunei-Muara,Jabatan Perdana Menteri,Jabatan Penerangan,BB3510
10,Brunei-Muara,Jabatan Perdana Menteri,Jabatan Perkhidmatan Awam,BB3510
13,Brunei-Muara,Jabatan Perdana Menteri,Jabatan Perkhidmatan Pengurusan,BB3910
9,Brunei-Muara,Jabatan Perdana Menteri,Majlis-Majlis Mesyuarat Negara,BS8610
16,Brunei-Muara,Jabatan Perdana Menteri,Mufti Kerajaan Brunei,BS8510
7,Brunei-Muara,Jabatan Perdana Menteri,Polis Di Raja Brunei,BE1710
17,Brunei-Muara,Jabatan Perdana Menteri,Pusat Tahanan,BG3110
11,Brunei-Muara,Jabatan Perdana Menteri,Radio Televisyen Brunei,BS8610
15,Brunei-Muara,Jabatan Perdana Menteri,Suruhanjaya Perkhidmatan Awan,BB3510
14,Brunei-Muara,Jabatan Perdana Menteri,Unit Petroleum,BB3910
35,Brunei-Muara,Kementerian Hal Ehwal Dalam Negeri,Jabatan Daerah Brunei Muara,BB3510
18,Brunei-Muara,Kementerian Pertahanan,Kementerian Pertahanan,BB3510
148,Brunei-Muara,Mukim Berakas A,Kampong Anggerek Desa,BB3713
146,Brunei-Muara,Mukim Berakas A,Kampong Burong Pinggai Berakas,BB3313
145,Brunei-Muara,Mukim Berakas A,Kampong Jaya Bakti,BB3113
144,Brunei-Muara,Mukim Berakas A,Kampong Jaya Setia,BB2713
,Brunei-Muara,Mukim Berakas A,Kampong Lambak 'A',BB1314
,Brunei-Muara,Mukim Berakas A,Kampong Lambak 'B',BB1714
136,Brunei-Muara,Mukim Berakas A,Kampong Lambak Kiri ,BB1214
150,Brunei-Muara,Mukim Berakas A,Kampong Orang Kaya Besar Imas,BB4113
152,Brunei-Muara,Mukim Berakas A,Kampong Pancha Delima,BB4513
154,Brunei-Muara,Mukim Berakas A,Kampong Pengiran Siraja Muda Delima Satu,BB5113
151,Brunei-Muara,Mukim Berakas A,Kampong Pulaie,BB4313
142,Brunei-Muara,Mukim Berakas A,Kampong Serusop,BB2313
140,Brunei-Muara,Mukim Berakas A,Kampong Terunjing ,BB1514
